department,province,4 to 5 years,6 to 11 years,12 to 14 years,15 to 17 years,avg attendance rate
Chical Co,La Pampa,100,98,97.6,100,98.9
Lihuel Calel,La Pampa,94.1,100,96.2,100,97.6
Limay Mahuida,La Pampa,100,100,100,100,100
Corpen Aike,Santa Cruz,96.9,98.9,97.9,97.7,97.9
Maipú,Buenos Aires,98.2,98.7,98.2,97.7,98.2
Comuna 12,Ciudad Autónoma de Buenos Aires,97.5,98.3,98.2,97.3,97.8
Salliqueló,Buenos Aires,98.8,98.7,95.9,97,97.6
Comuna 10,Ciudad Autónoma de Buenos Aires,97.4,98.4,98.4,96.9,97.8
Comuna 11,Ciudad Autónoma de Buenos Aires,97.4,98.1,98.3,96.9,97.7
Comuna 13,Ciudad Autónoma de Buenos Aires,97.8,98.3,98.5,96.9,97.9
Comuna 7,Ciudad Autónoma de Buenos Aires,96.7,98.1,98,96.9,97.4
Minas,Neuquén,97.8,98.4,98.6,96.9,97.9
Comuna 14,Ciudad Autónoma de Buenos Aires,97.3,97.8,98.2,96.8,97.5
Comuna 15,Ciudad Autónoma de Buenos Aires,97.8,98.5,98,96.8,97.8
Comuna 2,Ciudad Autónoma de Buenos Aires,97.3,98.1,97.4,96.7,97.4
Conhelo,La Pampa,99.1,99.6,99.4,96.7,98.7
Futaleufú,Chubut,98.9,98.9,98.6,96.5,98.2
Loventué,La Pampa,100,99.4,99.6,96.5,98.9
Capital,La Pampa,99.1,99.5,99.2,96.3,98.5
Comuna 6,Ciudad Autónoma de Buenos Aires,97.3,97.2,97.2,96.3,97
Toay,La Pampa,99.5,99.5,99.5,96.3,98.7
Vinchina,La Rioja,100,99.2,97.6,96.2,98.3
Comuna 5,Ciudad Autónoma de Buenos Aires,97,97.6,97.7,96.1,97.1
Curacó,La Pampa,93.9,100,100,96.1,97.5
Utracán,La Pampa,98.9,99.2,99.1,96.1,98.3
Escalante,Chubut,98.3,99.2,98.6,95.9,98
Maracó,La Pampa,99.5,99.3,99,95.8,98.4
Saavedra,Buenos Aires,99.2,99.1,98.7,95.8,98.2
Rawson,Chubut,98.4,99.2,98.8,95.6,98
Pilcaniyeu,Río Negro,98.7,98.6,98.3,95.5,97.8
Puelén,La Pampa,97.9,99.4,99.4,95.5,98.1
Lezama,Buenos Aires,98.3,99.3,97.9,95.4,97.7
Río Grande,Tierra del Fuego. Antártida e Islas del Atlántico Sur,95.1,,96.8,95.4,95.8
Adolfo Alsina,Río Negro,98.1,98.5,98.1,95.3,97.5
Chalileo,La Pampa,98.9,100,99.3,95.3,98.4
San Antonio,Río Negro,97,98.4,97.7,95.3,97.1
Chos Malal,Neuquén,96.9,98,98.4,95.2,97.1
La Paz,Mendoza,96.5,97.9,98.5,95.2,97
Comuna 9,Ciudad Autónoma de Buenos Aires,97,97.7,97.3,95.1,96.8
Cushamen,Chubut,97.2,98.8,98.7,95.1,97.5
Morón,Buenos Aires,98,98.5,97.5,95.1,97.3
Ñorquín,Neuquén,97.2,98.4,96.6,95.1,96.8
Vicente López,Buenos Aires,97.4,97.5,96.5,95.1,96.6
General Guido,Buenos Aires,98,97.2,89.6,95,95
Comuna 3,Ciudad Autónoma de Buenos Aires,96.2,97.5,96.9,94.9,96.4
Coronel de Marina Leonardo Rosales,Buenos Aires,96.9,97.8,96.8,94.9,96.6
Ituzaingó,Buenos Aires,97.9,98.7,97.9,94.9,97.4
Lago Argentino,Santa Cruz,95.6,97.3,97.3,94.9,96.3
Santa Rosa,Mendoza,97.8,98.6,98.6,94.9,97.5
Biedma,Chubut,98.1,98.7,97.9,94.8,97.4
Punta Indio,Buenos Aires,98.9,98.5,96.9,94.8,97.3
La Caldera,Salta,98.3,98.4,98.6,94.7,97.5
Lácar,Neuquén,97.9,98.8,98.1,94.6,97.4
Pehuenches,Neuquén,97.5,98.4,97.9,94.6,97.1
San Isidro,Buenos Aires,97.4,97.9,96.9,94.6,96.7
Ushuaia,Tierra del Fuego. Antártida e Islas del Atlántico Sur,,,96,94.6,95.3
Ensenada,Buenos Aires,98,98.7,97.9,94.5,97.3
Güer Aike,Santa Cruz,96,97.2,95.9,94.5,95.9
Deseado,Santa Cruz,96.3,97.8,97.4,94.4,96.5
Languiñeo,Chubut,100,99.2,97,94.4,97.7
Rancul,La Pampa,99.2,99.3,98.7,94.4,97.9
Berazategui,Buenos Aires,97.3,98.3,97,94.3,96.7
Dolores,Buenos Aires,97.5,96.8,95.3,94.3,96
General Lamadrid,La Rioja,98.3,98.2,97.5,94.3,97.1
Malargüe,Mendoza,97.6,98.5,97.5,94.3,97
Realicó,La Pampa,99.8,99.6,98.9,94.3,98.2
San Blas de Los Sauces,La Rioja,98.4,99.5,99,94.3,97.8
Tres de Febrero,Buenos Aires,97,97.9,96.8,94.3,96.5
Campana,Buenos Aires,97.7,98.2,97,94.2,96.8
Comuna 4,Ciudad Autónoma de Buenos Aires,97.1,98.4,97.2,94.2,96.7
Godoy Cruz,Mendoza,97.2,98.1,97.8,94.2,96.8
Trenel,La Pampa,100,99.4,99.2,94.2,98.2
General Lavalle,Buenos Aires,97.8,98.2,96.8,94.1,96.7
Puán,Buenos Aires,98.9,98.7,97.1,94.1,97.2
Hurlingham,Buenos Aires,96.8,98,96.6,94,96.4
Picunches,Neuquén,94.8,99.3,99,94,96.8
Bariloche,Río Negro,98,98.5,97.3,93.9,96.9
La Plata,Buenos Aires,96.8,98.2,96.7,93.9,96.4
Río Senguer,Chubut,100,98.4,98.6,93.9,97.7
Capital,Mendoza,95.5,96.1,95.9,93.8,95.3
Capital,La Rioja,97.1,98.2,97.1,93.8,96.6
Dr. Manuel Belgrano,Jujuy,94.6,96,96,93.8,95.1
Rivadavia,Mendoza,97.2,97.8,97.1,93.8,96.5
Avellaneda,Buenos Aires,97.1,98.2,96.9,93.7,96.5
Berisso,Buenos Aires,98,98.3,96.5,93.7,96.6
Caleu Caleu,La Pampa,100,98.9,98.7,93.7,97.8
Confluencia,Neuquén,96.2,98.4,97.7,93.7,96.5
Lago Buenos Aires,Santa Cruz,97.4,97.8,97.1,93.7,96.5
Tandil,Buenos Aires,98.3,98.6,96.8,93.7,96.9
Telsen,Chubut,100,98.6,95.7,93.7,97
Los Lagos,Neuquén,98.5,99.2,97.4,93.5,97.2
Quemú Quemú,La Pampa,97.5,99.4,99.8,93.5,97.6
Bahía Blanca,Buenos Aires,97.7,98.1,96.9,93.4,96.5
Capital,Salta,94,97.7,96.9,93.4,95.5
Capital,San Juan,96.1,96.4,95.7,93.4,95.4
Comuna 1,Ciudad Autónoma de Buenos Aires,94.7,96.8,96.7,93.4,95.4
Gaiman,Chubut,99,99.2,98.8,93.4,97.6
Guaymallén,Mendoza,96.6,97.7,97.3,93.4,96.3
Palpalá,Jujuy,96,97.1,95.9,93.4,95.6
Picún Leufú,Neuquén,97.4,97.9,97.8,93.4,96.6
Adolfo Gonzales Chaves,Buenos Aires,98.5,99.3,97.5,93.3,97.2
Chascomús,Buenos Aires,99,98.7,97.8,93.3,97.2
Comuna 8,Ciudad Autónoma de Buenos Aires,96.2,97.6,97,93.3,96
Baradero,Buenos Aires,98.2,97.9,96.4,93.2,96.4
Exaltación de la Cruz,Buenos Aires,97,98.3,96.6,93.2,96.3
Itatí,Corrientes,95.7,98.4,96.6,93.2,96
Rinconada,Jujuy,94.9,93.4,97,93.2,94.6
Capitán Sarmiento,Buenos Aires,99.1,98.7,96.9,93.1,97
General Juan Madariaga,Buenos Aires,98,98.5,97.1,93.1,96.7
Lanús,Buenos Aires,96.6,97.8,96.4,93.1,96
Monte Hermoso,Buenos Aires,97.3,98.5,95.4,93.1,96.1
San Pedro,Jujuy,94.3,97,96,93.1,95.1
Santa María,Catamarca,98.6,98.5,98,93.1,97.1
Valcheta,Río Negro,94.8,98.2,94.6,93.1,95.2
General Pedernera,San Luis,96.6,97.7,97.2,93,96.1
Guachipas,Salta,94.1,98.3,99.4,93,96.2
Ramallo,Buenos Aires,98.7,98.1,97.3,93,96.8
Rojas,Buenos Aires,97.9,97.9,94.9,93,95.9
Tolhuin,Tierra del Fuego. Antártida e Islas del Atlántico Sur,,,93.6,93,93.3
San Miguel,Buenos Aires,95,97.9,96.5,92.9,95.6
Sarmiento,Chubut,98,99.1,98.8,92.9,97.2
Capital,Catamarca,96.7,97.9,96.7,92.8,96
Río Chico,Santa Cruz,97.1,96.1,96.3,92.8,95.6
San Fernando,Buenos Aires,96.7,97.7,96,92.8,95.8
Tres Arroyos,Buenos Aires,98.7,99,97.9,92.8,97.1
Balcarce,Buenos Aires,98.7,98.4,96.7,92.7,96.6
Collón Curá,Neuquén,96,97.1,97.4,92.7,95.8
Paraná,Entre Ríos,97.4,98.2,97.4,92.7,96.4
Quilmes,Buenos Aires,95.3,97.7,96.3,92.7,95.5
Tapalqué,Buenos Aires,96.6,99.2,98,92.7,96.6
Atreucó,La Pampa,99.7,99.8,99.6,92.6,97.9
Ayacucho,Buenos Aires,98.4,98.2,97.5,92.6,96.7
