localidad_id,id_provincia,id_departamento,observacion,categoria,provincia,departamento,localidad,nombre,domicilio,piso,codigo_postal,codigo_area,telefono,mail,web,informacion_adicional,latitud,longitud,tipo_latitud_longitud,fuente,tipo_gestion,actualizacion
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Yenny Caballito,"Acoyte, Av. 44",,,11,"49,012,932",,https://www.yenny-elateneo.com/,,-34.61781,-58.43679,Precisa,Yenny,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Deva'S,"Acoyte, Av. 70",,,11,"59,014,588",tncaballito@devas.com,http://www.ayurdevas.com/cat/libros-y-musica,,-34.61755,-58.43713,Precisa,MisLibrerias,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Soma Libros,Francisco Acuña de Figueroa 327,,,11,"49,817,297",somaeshop@yahoo.com.ar,https://www.facebook.com/Soma-Libros-287255264621407/,,-34.60679,-58.42282,Precisa,BuscasLibros,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Yenny Aeroparque,Aeropuerto Jorge Newbery,,,11,,,https://www.yenny-elateneo.com/,,-34.55803,-58.417,Precisa,Yenny,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Raíces Libros,Agrelo 3045,,,11,"49,316,157",libreriaraices@yahoo.com.ar,https://www.facebook.com/libreria.raices/,,-34.61724,-58.4087986,Precisa,Ediciones Colihue,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Runrún,Aguirre 458,,,11,"48,558,657",,https://www.facebook.com/runrunlibros/,,-34.59816,-58.43519,Precisa,Fundación El Libro,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Librería Galerna (Puerto Madero),Aime Paine 1163,,,11,"52,580,239",puertomadero@galerna.net,s/d,,-34.61063,-58.36221,Precisa,MisLibrerias,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Librería De Avila,Alsina 500,,,11,"43,433,374",avilalibreria@gmail.com,www.libreriadeavila.com/,,-34.61035,-58.37336,Precisa,Ediciones Colihue,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Casassa Y Lorenzo Libreros. Casa Central.,Alvarez Jonte 4462,,,11,"45,670,904",ventas@casassaylorenzo.com,https://www.casassaylorenzo.com/,,-34.6177,-58.5018,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Crismar,"Alvarez Jonte, Av. 4849",,,11,"46,396,659",miguelangelchena@yahoo.com.ar,http://www.holachicos.com.ar/,,-34.61996,-58.50656,Precisa,Ediciones Colihue,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Nélida Dell Aquila,Alvarez Thomas 3335,,,11,"45,237,899",nelidadellaquila@yahoo.com.ar,s/d,,-34.57059,-58.48408,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Claretiana Editorial. Sucursal Araoz.,Araoz 2968,,,11,"48,068,266",palermo@editorialclaretiana.com.ar,http://claretiana.org,,-34.58257,-58.41084,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,El Libro De Arena. Sucursal Araoz.,Araoz 594,,,11,"35,351,182",libreria@calibroscopio.com.ar,www.calibroscopio.com.ar,,-34.59854,-58.43509,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Yenny Solar De La Abadía,Arce 940,,,11,"47,785,137",,https://www.yenny-elateneo.com/,,-34.56728,-58.43787,Precisa,Yenny,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Bitácora Bits,Arenales 1801,,,11,"47,964,269",bitacorabits@gmail.com,https://bitacorabits.mercadoshops.com.ar/about,,-34.59473,-58.39328,Precisa,Fundación El Libro,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,La Compañía De Los Libros,Arenales 1901,,,,,,s/d,,-34.59449,-58.39458,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Acme Agency. Sucursal Arenales.,Arenales 885,,,11,"43,938,830",acme@redynet.com.ar,https://www.facebook.com/pg/Acme-Agency-197325770323954/about/,,-34.59403,-58.37971,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Librería Otro Mundo,Armenia 2432,,,11,"48,319,348",libreriaotromundo@yahoo.com.ar,http://libreriaotromundo.blogspot.com.ar/,,-34.58413,-58.41931,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,María Rosa Spotorno libros,Austria  2373,,,11,"45,143,672",mrspotorno@gmail.com,s/d,,-34.58619,-58.40139,Precisa,Fundación El Libro,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,La Cita,Austria 1866,,,11,"48,236,477",lacitalibros@hotmail.com,s/d,,-34.58982,-58.40669,Precisa,Ediciones Colihue,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Librería Punto De Encuentro,Av. De Mayo 1110,,,11,"43,821,630",oviedoale83@gmail.com,http://puntoed.com.ar,,-34.60928,-58.38222,Precisa,MisLibrerias,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,La Cueva,Av. De Mayo 1114,,,11,"43,845,012",libroslacueva@gmail.com,s/d,,-34.6092,-58.38223,Precisa,Ediciones Colihue,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Incunable Srl,Av. De Mayo 637,,,11,"43,314,898",compro-libros@hotmail.com,s/d,,-34.60859,-58.37552,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,El Túnel De Buenos Aires,Av. De Mayo 767,,,11,"43,312,106",el_lenut@hotmail.com,https://www.facebook.com/libreria.tunel/,,-34.60838,-58.37717,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,La Calesita,Av. De Mayo 769,,,11,"43,424,110",lacalesita@yahoo.com.ar,https://www.facebook.com/lacalesita1/,,-34.60873,-58.37743,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Librería De Las Luces,Av. De Mayo 979,,,11,"43,436,216",ventas@libreriadelasluces.com.ar,www.facebook.com/libreriadelasluces/,,-34.60874,-58.38036,Precisa,Ediciones Colihue,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Mariela Manzur,Av. Del Libertador 7548,,,11,"47,047,347",mmanzur@premiumboox.com,s/d,,-34.54451,-58.46071,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Librería Del Conti,Av. Del Libertador 8151,,1429,11,"47,031,125",libreriadelconti@gmail.com,https://www.facebook.com/LibreriadelConti/,,-34.54001,-58.46402,Precisa,MisLibrerias,Privado,2020
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Sbs Librería Internacional. Sucursal Parque Chacabuco.,Avelino Diaz 533,,,11,"49,620,194",parquechacabuco@sbs.com.ar,https://sbs.com.ar/,,-34.63533,-58.42807,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Librería Guadalupita,Avellaneda 3918,,,11,"46,742,287",,s/d,,-34.62969,-58.48388,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Argonautas,Avenida de Mayo 637,,,,,info@libreriadickens.com,https://argonautas.com.ar,,-34.60859,-58.37552,Precisa,Fundación El Libro,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Dartagnan,Ayacucho 455,,,11,"49,543,895",,s/d,,-34.6038,-58.39525,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,El Glyptodon,Ayacucho 734,,,11,"43,747,973",libreriaelglyptodon@gmail.com,https://www.facebook.com/libreria.elglyptodon/,,-34.60053,-58.39578,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Libros Balvanera,Azcuenaga 86,,,,,,s/d,,-34.60931,-58.40051,Precisa,DataBuenosAires.gov.ar,Privado,2018
2000010,2,2000,,Librerias,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autonoma de Buenos Aires,Libros De Medicina Juan José Ara,Bacacay 2547,,,11,"46,110,425",,s/d,,-34.62694,-58.46585,Precisa,DataBuenosAires.gov.ar,Privado,2018
